window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031710600,11.0596933187295,1826,0,1826
2010-2014,pm25,17031420400,11.0717415115005,1826,0,0
2010-2014,pm25,17031836900,12.4030668127054,1826,0,1826
2010-2014,pm25,17031830400,12.052300109529,1826,0,0
2010-2014,pm25,17031830100,12.2160460021906,1826,0,0
2010-2014,pm25,17031580502,11.0361445783133,1826,0,0
2010-2014,pm25,17031611600,11.4589266155531,1826,0,0
2010-2014,pm25,17031807000,11.578860898138,1826,0,0
2010-2014,pm25,17031809900,11.9986308871851,1826,0,0
2010-2014,pm25,17031829600,11.9089083607156,1826,0,0
2010-2014,pm25,17031825803,11.7250821467689,1826,0,1826
2010-2014,pm25,17031819400,12.6987951807229,1826,0,1826
2010-2014,pm25,17031829200,12.0120481927711,1826,0,0
2010-2014,pm25,17031814900,11.2428806133625,1826,0,0
2010-2014,pm25,17031816300,12.8181818181818,1826,0,0
2010-2014,pm25,17031670700,11.3313253012048,1826,0,0
2010-2014,pm25,17031840300,12.8455640744797,1826,0,0
2010-2014,pm25,17031340300,11.6944140197152,1826,0,0
2010-2014,pm25,17031420800,11.2929901423877,1826,0,0
2010-2014,pm25,17031809100,11.8187294633078,1826,0,0
2010-2014,pm25,17031806900,11.9419496166484,1826,0,0
2010-2014,pm25,17031809800,11.3652792990142,1826,0,0
2010-2014,pm25,17031805501,12.3021175611537,1826,0,0
2010-2014,pm25,17031231100,11.4430449069003,1826,0,1826
2010-2014,pm25,17031243200,11.2623220153341,1826,0,1826
2010-2014,pm25,17031051200,11.0421686746988,1826,0,1826
2010-2014,pm25,17031161300,11.4255202628697,1826,0,1826
2010-2014,pm25,17031090100,11.7847754654984,1826,0,0
2010-2014,pm25,17031020301,11.8877327491785,1826,0,0
2010-2014,pm25,17031062000,11.8395399780942,1826,0,1826
2010-2014,pm25,17031430700,12.0098576122673,1826,0,0
2010-2014,pm25,17031280400,12.5032858707558,1826,0,0
2010-2014,pm25,17031420200,11.3253012048193,1826,0,0
2010-2014,pm25,17031841700,11.1046002190581,1826,0,1826
2010-2014,pm25,17031051000,11.1046002190581,1826,0,1826
2010-2014,pm25,17031081700,13.1155531215772,1826,0,1826
2010-2014,pm25,17031081300,12.3242059145674,1826,0,1826
2010-2014,pm25,17031320400,11.9682365826944,1826,0,0
2010-2014,pm25,17031837400,11.5230010952903,1826,0,0
2010-2014,pm25,17031700402,11.5553121577218,1826,0,0
2010-2014,pm25,17031827200,11.3910186199343,1826,0,0
2010-2014,pm25,17031813802,11.4961664841183,1826,0,0
2010-2014,pm25,17031620200,11.460569550931,1826,0,0
2010-2014,pm25,17031280800,11.6522453450164,1826,0,1826
2010-2014,pm25,17031770902,12.2190580503834,1826,0,0
2010-2014,pm25,17031803614,11.3359802847755,1826,0,0
2010-2014,pm25,17031081600,12.3242059145674,1826,0,1826
2010-2014,pm25,17031020902,11.9271631982475,1826,0,0
2010-2014,pm25,17031839200,12.2743702081051,1826,0,0
2010-2014,pm25,17031843400,11.053121577218,1826,0,1826
2010-2014,pm25,17031841800,11.5301204819277,1826,0,0
2010-2014,pm25,17031833300,11.6401971522453,1826,0,0
2010-2014,pm25,17031600400,11.4764512595838,1826,0,0
2010-2014,pm25,17031051100,11.1046002190581,1826,0,1826
2010-2014,pm25,17031160501,10.5881708652793,1826,0,1826
2010-2014,pm25,17031251900,11.4720700985761,1826,0,0
2010-2014,pm25,17031261000,11.5060240963855,1826,0,1826
2010-2014,pm25,17031815702,12.2214311792625,1826,0,0
2010-2014,pm25,17031580100,11.6144578313253,1826,0,1826
