model,organ,organ_label,pollutant,exposure_label,subgroup,subgroup_label,subgroup_level,n,people,centers,adverse_events,hazard_ratio,conf_low,conf_high,p_value,adjustment_set,error,hazard_ratio_ci,p_value_display
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,sex,Sex,Female,20021,20021,82,2944,1.1441558157546936,1.0436861433683593,1.2542971266250265,0.0040813462782146835,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.14 (1.04-1.25),0.004
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,sex,Sex,Male,26767,26767,84,2638,1.1633798041822583,1.0555689658800582,1.282201933296454,0.0022892533421732643,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.16 (1.06-1.28),0.002
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,White,40357,40357,84,4667,1.1706472668041128,1.0892634109742634,1.2581116830594787,1.8217528442083503e-5,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.17 (1.09-1.26),<.001
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,Black,4673,4673,79,659,1.0324449102460103,0.8277380271410492,1.2877776032286266,0.7770333586314371,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.03 (0.83-1.29),0.777
baseline_prior_year,LU,Lung,pm25,PM2.5 per 5 ug/m3,race_group,Race,Asian,1221,1221,70,208,1.2487930599092663,0.8494858889753123,1.8357975414502385,0.25840045780471027,age + sex + zcta_svi_proxy + strata(listing_center),NA,1.25 (0.85-1.84),0.258
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,<18,1120,1120,59,262,1.2711528133977161,0.9122337178773161,1.7712889178979434,0.15638960113828276,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.27 (0.91-1.77),0.156
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,18-39,5205,5205,78,736,1.072315145060106,0.8635256327930975,1.3315873051805347,0.5274351271102462,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,1.07 (0.86-1.33),0.527
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,40-59,16191,16191,74,2086,0.9216085937815792,0.8021704293231339,1.0588303546027573,0.24901345479349102,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.92 (0.80-1.06),0.249
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,age_group,Age group,60+,24272,24272,74,2498,0.9457602130393125,0.8256840748834928,1.0832985736032001,0.42082213772565935,sex + race_group + zcta_svi_proxy + strata(listing_center),NA,0.95 (0.83-1.08),0.421
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,sex,Sex,Female,20021,20021,82,2944,0.9270125961294099,0.8248131902107897,1.0418751343719077,0.20349668544806515,age + race_group + zcta_svi_proxy + strata(listing_center),NA,0.93 (0.82-1.04),0.203
baseline_prior_year,LU,Lung,o3,O3 per 10 ppb,sex,Sex,Male,26767,26767,84,2638,1.0092536773805845,0.892523002791738,1.1412512418393232,0.8832277230352354,age + race_group + zcta_svi_proxy + strata(listing_center),NA,1.01 (0.89-1.14),0.883
