organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,clinical_score,5,173755,43489,8685,0.7541223410852896
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,1,173807,43437,8439,0.7563588326001136
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,2,173789,43455,8525,0.7554271188662471
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,3,173804,43440,8434,0.7595036775098077
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,4,173821,43423,8601,0.754104719791552
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,optn_region,5,173755,43489,8685,0.7543468020965366
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,1,173807,43437,8439,0.7569879863436431
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,2,173789,43455,8525,0.7561951009940532
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,3,173804,43440,8434,0.7602306112018076
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,4,173821,43423,8601,0.755124920694388
LI,Ozone per 10 ppb,o3_prior_1y_10ppb,community,5,173755,43489,8685,0.7547743960998843
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,1,173807,43437,8439,0.5189034947043273
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,2,173789,43455,8525,0.5126382078100796
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,3,173804,43440,8434,0.5133648148270984
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,4,173821,43423,8601,0.5105600908327305
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,pollutant_only,5,173755,43489,8685,0.5163678135325129
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,1,173807,43437,8439,0.5536590826614731
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,2,173789,43455,8525,0.5444266029425218
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,3,173804,43440,8434,0.5425091568816683
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,4,173821,43423,8601,0.5456568995499008
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,demographics_year,5,173755,43489,8685,0.5446767691742495
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,1,173807,43437,8439,0.7560166025628305
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,2,173789,43455,8525,0.7554092179533618
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,3,173804,43440,8434,0.7593595960937211
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,4,173821,43423,8601,0.7534714833110654
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,clinical_score,5,173755,43489,8685,0.754126404690156
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,1,173807,43437,8439,0.7563626941606196
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,2,173789,43455,8525,0.7554114105808059
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,3,173804,43440,8434,0.7594883605109147
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,4,173821,43423,8601,0.7541999190487054
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,optn_region,5,173755,43489,8685,0.7543642259836818
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,1,173807,43437,8439,0.756988266962574
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,2,173789,43455,8525,0.7562178438331981
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,3,173804,43440,8434,0.7602492508393162
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,4,173821,43423,8601,0.7552083401399937
LI,NO2 per 10-unit increase,no2_prior_1y_10unit,community,5,173755,43489,8685,0.7547883233967956
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,1,37269,9345,1166,0.5231113519508419
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,2,37291,9323,1146,0.536803596513524
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,3,37299,9315,1179,0.5268517920606087
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,4,37306,9308,1082,0.5002068973027125
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,pollutant_only,5,37291,9323,1135,0.5310428784408919
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,1,37269,9345,1166,0.5434455458336911
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,2,37291,9323,1146,0.566508932185679
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,3,37299,9315,1179,0.5389604942313083
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,4,37306,9308,1082,0.5304234316639987
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,demographics_year,5,37291,9323,1135,0.564484450658055
