time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
3,0.20555159399469197,0.6707305302339763,4781,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Liver,20.555159399469197,67.07305302339763
5,0.22952784340814578,0.7042103639124123,2011,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Liver,22.952784340814578,70.42103639124123
10,0.24976778339534714,0.7352723971727241,226,quartile=Q4 highest,Q4 highest,pm25,PM[2.5],ug/m3,Liver,24.976778339534714,73.52723971727241
1,0.06792574292353035,0.8162635108636449,1350,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,6.792574292353034,81.6263510863645
3,0.08328374851160211,0.8863400922792181,244,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,8.328374851160211,88.63400922792181
5,0.08824264002408792,0.9014324409520957,64,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,8.824264002408793,90.14324409520957
10,0.08990142492943425,0.9084406936253144,2,quartile=Q1 lowest,Q1 lowest,no2,NO[2],ppb,Lung,8.990142492943425,90.84406936253144
1,0.08786406039361326,0.7649276421572188,1975,quartile=Q2,Q2,no2,NO[2],ppb,Lung,8.786406039361326,76.49276421572188
3,0.10880547559796168,0.8526822517323446,397,quartile=Q2,Q2,no2,NO[2],ppb,Lung,10.880547559796168,85.26822517323446
5,0.11460873735872208,0.8697883760909331,120,quartile=Q2,Q2,no2,NO[2],ppb,Lung,11.460873735872209,86.9788376090933
10,0.11823107163709852,0.8804075134879986,6,quartile=Q2,Q2,no2,NO[2],ppb,Lung,11.823107163709851,88.04075134879986
1,0.09980189488027497,0.7464697127748243,1968,quartile=Q3,Q3,no2,NO[2],ppb,Lung,9.980189488027497,74.64697127748244
3,0.1229269667902444,0.8403740761382745,371,quartile=Q3,Q3,no2,NO[2],ppb,Lung,12.29269667902444,84.03740761382745
