Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,46788,5582,0.0805 (-0.0097 to 0.1706),1.08 (0.99-1.19),0.080,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,age,covariate,,46788,5582,0.0089 (0.0067 to 0.0110),1.01 (1.01-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,sexM,covariate,,46788,5582,0.0643 (0.0101 to 0.1184),1.07 (1.01-1.13),0.020,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,raceBLACK,covariate,,46788,5582,-0.3742 (-0.5366 to -0.2118),0.69 (0.58-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,raceMULTI,covariate,,46788,5582,-0.7101 (-1.2218 to -0.1983),0.49 (0.29-0.82),0.007,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,raceMissing,covariate,,46788,5582,-1.4968 (-2.8931 to -0.1005),0.22 (0.06-0.90),0.036,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,raceNATIVE,covariate,,46788,5582,-0.1955 (-0.6237 to 0.2326),0.82 (0.54-1.26),0.371,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,racePACIFIC,covariate,,46788,5582,0.0502 (-0.7689 to 0.8693),1.05 (0.46-2.39),0.904,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,raceWHITE,covariate,,46788,5582,-0.3531 (-0.4954 to -0.2108),0.70 (0.61-0.81),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,zcta_svi_proxy,covariate,,46788,5582,0.0893 (-0.0687 to 0.2473),1.09 (0.93-1.28),0.268,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Lung,organ_score,organ_severity,,46788,5582,0.4217 (0.3929 to 0.4506),1.52 (1.48-1.57),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
